name,voice_id,available_for_tiers,labels,preview_url
Aria,9BWtsMINqrJLrRacOk9x,[],"{'accent': 'american', 'descriptive': 'husky', 'age': 'middle_aged', 'gender': 'female', 'language': 'en', 'use_case': 'informative_educational'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/9BWtsMINqrJLrRacOk9x/405766b8-1f4e-4d3c-aba1-6f25333823ec.mp3
Sarah,EXAVITQu4vr4xnSDxMaL,[],"{'accent': 'american', 'descriptive': 'professional', 'age': 'young', 'gender': 'female', 'language': 'en', 'use_case': 'entertainment_tv'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/EXAVITQu4vr4xnSDxMaL/01a3e33c-6e99-4ee7-8543-ff2216a32186.mp3
Laura,FGY2WhTYpPnrIDTdsKH5,[],"{'accent': 'american', 'descriptive': 'sassy', 'age': 'young', 'gender': 'female', 'language': 'en', 'use_case': 'social_media'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/FGY2WhTYpPnrIDTdsKH5/67341759-ad08-41a5-be6e-de12fe448618.mp3
Charlie,IKne3meq5aSn9XLyUdCD,[],"{'accent': 'australian', 'descriptive': 'hyped', 'age': 'young', 'gender': 'male', 'language': 'en', 'use_case': 'conversational'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/IKne3meq5aSn9XLyUdCD/102de6f2-22ed-43e0-a1f1-111fa75c5481.mp3
George,JBFqnCBsd6RMkjVDRZzb,[],"{'accent': 'british', 'descriptive': 'mature', 'age': 'middle_aged', 'gender': 'male', 'language': 'en', 'use_case': 'narrative_story'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/JBFqnCBsd6RMkjVDRZzb/e6206d1a-0721-4787-aafb-06a6e705cac5.mp3
Callum,N2lVS1w4EtoT3dr4eOWO,[],"{'accent': '', 'age': 'middle_aged', 'language': 'en', 'gender': 'male', 'use_case': 'characters'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/N2lVS1w4EtoT3dr4eOWO/ac833bd8-ffda-4938-9ebc-b0f99ca25481.mp3
River,SAz9YHcvj6GT2YYXdXww,[],"{'accent': 'american', 'descriptive': 'calm', 'age': 'middle_aged', 'gender': 'neutral', 'language': 'en', 'use_case': 'conversational'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/SAz9YHcvj6GT2YYXdXww/e6c95f0b-2227-491a-b3d7-2249240decb7.mp3
Liam,TX3LPaxmHKxFdv7VOQHJ,[],"{'accent': 'american', 'descriptive': 'confident', 'age': 'young', 'gender': 'male', 'language': 'en', 'use_case': 'social_media'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/TX3LPaxmHKxFdv7VOQHJ/63148076-6363-42db-aea8-31424308b92c.mp3
Charlotte,XB0fDUnXU5powFXDhCwa,[],"{'accent': 'swedish', 'descriptive': 'relaxed', 'age': 'young', 'gender': 'female', 'language': 'en', 'use_case': 'characters_animation'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/XB0fDUnXU5powFXDhCwa/942356dc-f10d-4d89-bda5-4f8505ee038b.mp3
Alice,Xb7hH8MSUJpSbSDYk0k2,[],"{'accent': 'british', 'descriptive': 'professional', 'age': 'middle_aged', 'gender': 'female', 'language': 'en', 'use_case': 'advertisement'}",https://storage.googleapis.com/eleven-public-prod/premade/voices/Xb7hH8MSUJpSbSDYk0k2/d10f7534-11f6-41fe-a012-2de1e482d336.mp3
